"Unidade da Federação,""Ano"",""Variável"",""Total"",""Abacate"",""Abacaxi*"",""Açaí"",""Alfafa fenada"",""Algodão arbóreo (em caroço)"",""Algodão herbáceo (em caroço)"",""Alho"",""Amendoim (em casca)"",""Arroz (em casca)"",""Aveia (em grão)"",""Azeitona"",""Banana (cacho)"",""Batata-doce"",""Batata-inglesa"",""Borracha (látex coagulado)"",""Borracha (látex líquido)"",""Cacau (em amêndoa)"",""Café (em grão) Total"",""Café (em grão) Arábica"",""Café (em grão) Canephora"",""Caju"",""Cana-de-açúcar"",""Cana para forragem"",""Caqui"",""Castanha de caju"",""Cebola"",""Centeio (em grão)"",""Cevada (em grão)"",""Chá-da-índia (folha verde)"",""Coco-da-baía*"",""Dendê (cacho de coco)"",""Erva-mate (folha verde)"",""Ervilha (em grão)"",""Fava (em grão)"",""Feijão (em grão)"",""Figo"",""Fumo (em folha)"",""Girassol (em grão)"",""Goiaba"",""Guaraná (semente)"",""Juta (fibra)"",""Laranja"",""Limão"",""Linho (semente)"",""Maçã"",""Malva (fibra)"",""Mamão"",""Mamona (baga)"",""Mandioca"",""Manga"",""Maracujá"",""Marmelo"",""Melancia"",""Melão"",""Milho (em grão)"",""Noz (fruto seco)"",""Palmito"",""Pera"",""Pêssego"",""Pimenta-do-reino"",""Rami (fibra)"",""Sisal ou agave (fibra)"",""Soja (em grão)"",""Sorgo (em grão)"",""Tangerina"",""Tomate"",""Trigo (em grão)"",""Triticale (em grão)"",""Tungue (fruto seco)"",""Urucum (semente)"",""Uva"""
"São Paulo,""1994"",""Quantidade produzida (Toneladas)"","".."",""178754"",""42170"",""..."",""..."",""-"",""254700"",""2180"",""141900"",""276600"",""-"",""-"",""54550"",""70374"",""529000"",""31628"",""..."",""68"",""409200"",""..."",""..."",""..."",""174100000"",""..."",""344248"",""-"",""299650"",""-"",""-"",""41910"",""695"",""-"",""-"",""52"",""-"",""293700"",""82495"",""164"",""..."",""757640"",""-"",""-"",""69025000"",""5474694"",""-"",""82380"",""-"",""12631"",""2150"",""801750"",""466730"",""485759"",""-"",""22697"",""2252"",""3199200"",""21"",""196"",""16395"",""189816"",""-"",""-"",""-"",""1230900"",""70596"",""2319517"",""883480"",""33900"",""..."",""-"",""1137"",""134680"""
"São Paulo,""1995"",""Quantidade produzida (Toneladas)"","".."",""155943"",""16335"",""..."",""..."",""-"",""311400"",""2420"",""151250"",""260130"",""-"",""-"",""51950"",""56894"",""591770"",""36718"",""..."",""63"",""205200"",""..."",""..."",""..."",""174960000"",""..."",""297883"",""-"",""320080"",""-"",""-"",""36750"",""1724"",""-"",""-"",""19"",""-"",""229740"",""83460"",""170"",""..."",""840471"",""-"",""-"",""80575000"",""5033824"",""-"",""72605"",""-"",""9926"",""880"",""794050"",""451643"",""570947"",""-"",""25043"",""1579"",""4175280"",""21"",""333"",""16270"",""222692"",""-"",""-"",""-"",""1185500"",""60800"",""2285857"",""839820"",""40400"",""..."",""-"",""852"",""137160"""
"São Paulo,""1996"",""Quantidade produzida (Toneladas)"","".."",""144626"",""30931"",""..."",""..."",""-"",""181200"",""1660"",""135000"",""212730"",""-"",""-"",""57055"",""50081"",""530000"",""42699"",""..."",""67"",""382800"",""..."",""..."",""..."",""192320000"",""..."",""300812"",""-"",""281610"",""-"",""-"",""26332"",""1218"",""-"",""-"",""17"",""-"",""173600"",""83377"",""150"",""..."",""862669"",""-"",""-"",""87734705"",""5467591"",""-"",""70170"",""-"",""10481"",""1350"",""574895"",""483299"",""662724"",""-"",""29388"",""1655"",""3544100"",""21"",""200"",""16858"",""197005"",""-"",""-"",""-"",""1234300"",""64580"",""2105274"",""832080"",""25200"",""..."",""-"",""727"",""150400"""
"São Paulo,""1997"",""Quantidade produzida (Toneladas)"","".."",""160456"",""40198"",""..."",""..."",""-"",""155430"",""1380"",""120500"",""175000"",""-"",""-"",""54180"",""49850"",""591750"",""48262"",""..."",""37"",""342100"",""..."",""..."",""..."",""194025000"",""..."",""282098"",""-"",""245290"",""-"",""-"",""26297"",""2942"",""-"",""-"",""14"",""-"",""221100"",""64367"",""94"",""..."",""966463"",""-"",""-"",""94880000"",""5841311"",""-"",""70170"",""-"",""10935"",""1100"",""563460"",""488489"",""582717"",""-"",""26823"",""2101"",""3909900"",""24"",""1023"",""14892"",""206147"",""-"",""-"",""-"",""1408500"",""81000"",""2429307"",""642300"",""27420"",""..."",""-"",""663"",""227140"""
"São Paulo,""1998"",""Quantidade produzida (Toneladas)"","".."",""164567"",""50815"",""..."",""..."",""-"",""191070"",""1455"",""171900"",""130600"",""-"",""-"",""63000"",""54666"",""640200"",""54888"",""..."",""38"",""492680"",""..."",""..."",""..."",""199783000"",""..."",""326539"",""-"",""200740"",""-"",""-"",""24567"",""5660"",""-"",""-"",""-"",""-"",""254430"",""82357"",""85"",""..."",""973979"",""-"",""-"",""85166750"",""6022141"",""-"",""45200"",""-"",""11658"",""783"",""585000"",""518679"",""529545"",""-"",""31010"",""1632"",""3656300"",""24"",""1051"",""16537"",""226662"",""-"",""-"",""-"",""1027780"",""101670"",""2575090"",""711500"",""17226"",""..."",""-"",""812"",""185230"""
"São Paulo,""1999"",""Quantidade produzida (Toneladas)"","".."",""143799"",""42858"",""..."",""..."",""-"",""156585"",""900"",""153400"",""126100"",""-"",""-"",""64000"",""51219"",""676130"",""60572"",""..."",""36"",""425000"",""..."",""..."",""..."",""197144000"",""..."",""332447"",""-"",""245420"",""-"",""-"",""29474"",""7155"",""-"",""-"",""-"",""-"",""293600"",""77205"",""65"",""..."",""872059"",""-"",""-"",""96931000"",""6403344"",""-"",""34308"",""-"",""8516"",""1280"",""701300"",""419198"",""492962"",""-"",""30848"",""1456"",""3811020"",""76"",""846"",""15999"",""210844"",""-"",""-"",""-"",""1421000"",""83340"",""2445688"",""748600"",""38700"",""..."",""-"",""831"",""176190"""
"São Paulo,""2000"",""Quantidade produzida (Toneladas)"","".."",""160888"",""37260"",""..."",""..."",""-"",""148230"",""1283"",""159700"",""113600"",""-"",""-"",""58701"",""45914"",""633520"",""61007"",""..."",""-"",""435591"",""..."",""..."",""..."",""189040000"",""..."",""369613"",""-"",""272560"",""-"",""-"",""35190"",""10136"",""-"",""-"",""10"",""-"",""238424"",""68101"",""65"",""..."",""1165499"",""-"",""-"",""88983316"",""6767401"",""-"",""29310"",""-"",""5072"",""4150"",""769132"",""486853"",""482118"",""-"",""24485"",""2267"",""3060090"",""71"",""2827"",""16954"",""255679"",""-"",""-"",""-"",""1190110"",""67860"",""2555074"",""709060"",""16525"",""..."",""-"",""1165"",""198018"""
"São Paulo,""2001"",""Quantidade produzida (Toneladas)"","".."",""86619"",""65120"",""..."",""..."",""-"",""166219"",""1460"",""164500"",""111420"",""-"",""-"",""1105827"",""57158"",""741070"",""62666"",""..."",""-"",""356000"",""..."",""..."",""..."",""198932127"",""..."",""82854"",""-"",""182620"",""-"",""-"",""34917"",""21408"",""-"",""-"",""5"",""-"",""320887"",""9132"",""61"",""..."",""114427"",""-"",""-"",""13529892"",""798806"",""-"",""2820"",""-"",""7393"",""3700"",""1043700"",""215395"",""70835"",""-"",""175639"",""2848"",""4200120"",""109"",""2199"",""4676"",""48399"",""-"",""-"",""-"",""1355680"",""70900"",""594366"",""625630"",""52240"",""..."",""-"",""2000"",""213329"""
"São Paulo,""2002"",""Quantidade produzida (Toneladas)"","".."",""88946"",""57730"",""..."",""..."",""-"",""154200"",""1089"",""157400"",""103570"",""-"",""-"",""1151600"",""52052"",""726740"",""74011"",""..."",""-"",""280314"",""..."",""..."",""..."",""212707367"",""..."",""81186"",""-"",""270930"",""-"",""-"",""35017"",""26488"",""-"",""-"",""-"",""-"",""301820"",""7274"",""143"",""..."",""111605"",""-"",""-"",""14759067"",""798751"",""-"",""2710"",""-"",""8042"",""1760"",""805435"",""208947"",""56957"",""-"",""165333"",""2073"",""3943470"",""127"",""3436"",""4212"",""43636"",""-"",""-"",""-"",""1560520"",""99720"",""604520"",""765990"",""60850"",""..."",""-"",""2054"",""231775"""
"São Paulo,""2003"",""Quantidade produzida (Toneladas)"","".."",""91981"",""92130"",""..."",""..."",""-"",""167000"",""1365"",""148270"",""102020"",""-"",""-"",""1182585"",""49914"",""791030"",""81915"",""..."",""-"",""170223"",""..."",""..."",""..."",""227980860"",""..."",""89820"",""-"",""266895"",""-"",""-"",""22964"",""28523"",""-"",""-"",""-"",""-"",""303190"",""7071"",""151"",""..."",""109880"",""-"",""-"",""13347090"",""789081"",""-"",""2370"",""-"",""6900"",""1050"",""864230"",""235094"",""50496"",""-"",""200254"",""1468"",""4732040"",""113"",""4978"",""5456"",""47387"",""-"",""-"",""-"",""1708938"",""204870"",""658343"",""764900"",""104700"",""..."",""-"",""2559"",""224470"""
